Número,Fecha (dd/mm/aa),Nombre actividad,Costo,Presupuesto,Tiempo invertido,Tipo,Momento,No. de personas
1,8/11/2025,Transporte al instituto ,5.7456,50,20,6,1,3
2,8/11/2025,Adquisición de mentos y agua natural,34,100,2,1,1,1
3,8/11/2025,Transporte a casa,5.746,50,15,6,2,2
4,8/12/2025,Transporte al instituto ,5.746,50,15,6,1,2
5,8/12/2025,Recoger a amigo,12.5,20,25,6,2,4
6,8/12/2025,Comida,210,220,120,1,2,2
7,8/12/2025,Libretas y lapiceros,240,300,10,5,3,2
8,8/12/2025,Cine,250,300,120,4,3,4
9,8/13/2025,Transporte al instituto ,5.746,20,20,6,1,2
10,8/13/2025,Lapiceros,20,50,10,5,3,1
11,8/14/2025,Transporte al instituto ,5.7456,50,20,6,1,4
12,8/14/2025,Transporte a casa,5.746,50,15,6,2,3
13,8/15/2025,Transporte al instituto ,5.7456,50,20,6,1,3
14,8/15/2025,Agua natural,10,20,10,1,2,1
15,8/15/2025,Cine,210,200,200,4,2,2
16,8/15/2025,Transporte a casa,5.746,50,15,6,3,2
17,8/15/2025,Cena,150,200,60,1,3,2
18,8/16/2025,Transporte a música,7,50,10,6,1,3
19,8/16/2025,Starbucks,90,100,10,1,2,1
20,8/16/2025,Transporte a casa,7,50,10,6,1,3
21,8/16/2025,Comida para loros,400,500,20,1,1,2
22,8/16/2025,Ahorros,200,200,1,2,1,1
23,8/17/2025,Desayuno,100,100,40,1,1,1
24,8/18/2025,Transporte al instituto ,5.7456,50,20,6,1,4
25,8/18/2025,Transporte a casa,5.746,50,15,6,2,3
26,8/18/2025,Agua natural,10,20,10,1,2,1
27,8/19/2025,Transporte al instituto ,5.7456,50,20,6,1,4
28,8/19/2025,Transporte a casa,5.746,50,15,6,2,3
29,8/19/2025,Cine,210,200,200,4,2,2
30,8/20/2025,Transporte al instituto ,5.7456,50,20,6,1,4
31,8/20/2025,Galletas y café,80,100,40,1,1,1
32,8/20/2025,Transporte a casa,5.746,50,15,6,2,3
33,8/21/2025,Transporte al instituto ,5.7456,50,20,6,1,4
34,8/21/2025,Transporte a casa,5.746,50,15,6,2,3
35,8/22/2025,Transporte al instituto,5.746,20,20,6,1,2
36,8/22/2025,Café,35,50,15,1,1,1
37,8/22/2025,Transporte a casa,5.746,20,15,6,2,2
38,8/23/2025,Transporte al instituto,5.746,20,20,6,1,2
39,8/23/2025,Café,35,50,15,1,1,1
40,8/23/2025,Transporte a casa,5.746,20,15,6,2,2
41,8/23/2025,Transporte al cine,5.746,20,20,6,1,2
42,8/23/2025,Café,35,50,15,1,1,1
43,8/23/2025,Cine/Salida,150,200,120,4,3,2
44,8/23/2025,Transporte a casa,5.746,20,15,6,2,2
45,8/24/2025,Desayuno,120,150,30,1,1,2
46,8/25/2025,Transporte al instituto,5.746,20,20,6,1,2
47,8/25/2025,Transporte a casa,5.746,20,15,6,2,2
48,8/25/2025,Cena en casa,80,100,45,1,3,1
49,8/26/2025,Transporte al instituto,5.746,20,20,6,1,2
50,8/26/2025,Café,35,50,15,1,1,1
51,8/26/2025,Transporte a casa,5.746,20,15,6,2,2
52,8/27/2025,Transporte al instituto,5.746,20,20,6,1,2
53,8/27/2025,Café,35,50,15,1,1,1
54,8/27/2025,Transporte a casa,5.746,20,15,6,2,2
55,8/28/2025,Transporte al instituto,5.746,20,20,6,1,2
56,8/28/2025,Café,35,50,15,1,1,1
57,8/28/2025,Comida,110,150,60,1,2,1
58,8/29/2025,Transporte al instituto,5.746,20,20,6,1,2
59,8/29/2025,Café,35,50,15,1,1,1
60,8/29/2025,Transporte a casa,5.746,20,15,6,2,2
61,8/30/2025,Comida con amigos,350,400,90,1,2,3
62,8/30/2025,Transporte fin de semana,15,30,25,6,2,2
63,8/31/2025,Desayuno,90,100,25,1,1,1
64,9/1/2025,Transporte al instituto,5.746,20,20,6,1,2
65,9/1/2025,Café,35,50,15,1,1,1
66,9/1/2025,Transporte a casa,5.746,20,15,6,2,2
67,9/2/2025,Transporte al instituto,5.746,20,20,6,1,2
68,9/2/2025,Café,35,50,15,1,1,1
69,9/2/2025,Transporte a casa,5.746,20,15,6,2,2
70,9/3/2025,Transporte al instituto,5.746,20,20,6,1,2
71,9/3/2025,Café,35,50,15,1,1,1
72,9/3/2025,Transporte a casa,5.746,20,15,6,2,2
73,9/4/2025,Transporte al instituto,5.746,20,20,6,1,2
74,9/4/2025,Café,35,50,15,1,1,1
75,9/4/2025,Comida,115,150,60,1,2,1
76,9/5/2025,Transporte al instituto,5.746,20,20,6,1,2
77,9/5/2025,Café,35,50,15,1,1,1
78,9/5/2025,Transporte a casa,5.746,20,15,6,2,2
79,9/6/2025,Cine,150,200,120,4,3,2
80,9/7/2025,Transporte fin de semana,15,30,25,6,2,2
81,9/7/2025,Cena,220,250,90,1,3,4
82,9/8/2025,Transporte al instituto,5.746,20,20,6,1,2
83,9/8/2025,Café,35,50,15,1,1,1
84,9/8/2025,Transporte a casa,5.746,20,15,6,2,2
85,9/9/2025,Transporte al instituto,5.746,20,20,6,1,2
86,9/9/2025,Café,35,50,15,1,1,1
87,9/9/2025,Tarea/Proyecto,0,0,180,5,2,1
88,9/10/2025,Transporte al instituto,5.746,20,20,6,1,2
89,9/10/2025,Café,35,50,15,1,1,1
90,9/10/2025,Transporte a casa,5.746,20,15,6,2,2
91,9/11/2025,Transporte al instituto,5.746,20,20,6,1,2
92,9/11/2025,Café,35,50,15,1,1,1
93,9/11/2025,Comida,120,150,60,1,2,1
94,9/12/2025,Transporte al instituto,5.746,20,20,6,1,2
95,9/12/2025,Café,35,50,15,1,1,1
96,9/12/2025,Transporte a casa,5.746,20,15,6,2,2
97,9/13/2025,Película en casa,0,0,100,4,3,1
98,9/14/2025,Transporte fin de semana,15,30,25,6,2,2
99,9/14/2025,Comida,180,200,70,1,2,2
100,9/15/2025,Transporte al instituto,5.746,20,20,6,1,2
101,9/15/2025,Café,35,50,15,1,1,1
102,9/15/2025,Transporte a casa,5.746,20,15,6,2,2
103,9/16/2025,Transporte al instituto,5.746,20,20,6,1,2
104,9/16/2025,Café,35,50,15,1,1,1
105,9/16/2025,Transporte a casa,5.746,20,15,6,2,2
106,9/17/2025,Transporte al instituto,5.746,20,20,6,1,2
107,9/17/2025,Café,35,50,15,1,1,1
108,9/17/2025,Transporte a casa,5.746,20,15,6,2,2
109,9/18/2025,Transporte al instituto,5.746,20,20,6,1,2
110,9/18/2025,Café,35,50,15,1,1,1
111,9/18/2025,Comida,130,150,60,1,2,1
112,9/19/2025,Transporte al instituto,5.746,20,20,6,1,2
113,9/19/2025,Café,35,50,15,1,1,1
114,9/19/2025,Transporte a casa,5.746,20,15,6,2,2
115,9/20/2025,Salida con amigos,150,200,120,4,3,3
116,9/21/2025,Transporte fin de semana,15,30,25,6,2,2
117,9/21/2025,Desayuno,100,120,30,1,1,2
118,9/22/2025,Transporte al instituto,5.746,20,20,6,1,2
119,9/22/2025,Café,35,50,15,1,1,1
120,9/22/2025,Transporte a casa,5.746,20,15,6,2,2
121,9/23/2025,Transporte al instituto,5.746,20,20,6,1,2
122,9/23/2025,Café,35,50,15,1,1,1
123,9/23/2025,Transporte a casa,5.746,20,15,6,2,2
124,9/24/2025,Transporte al instituto,5.746,20,20,6,1,2
125,9/24/2025,Café,35,50,15,1,1,1
126,9/24/2025,Transporte a casa,5.746,20,15,6,2,2
127,9/25/2025,Transporte al instituto,5.746,20,20,6,1,2
128,9/25/2025,Café,35,50,15,1,1,1
129,9/25/2025,Comida,140,150,60,1,2,1
130,9/26/2025,Transporte al instituto,5.746,20,20,6,1,2
131,9/26/2025,Café,35,50,15,1,1,1
132,9/26/2025,Transporte a casa,5.746,20,15,6,2,2
133,9/27/2025,Cena en restaurante,450,500,120,1,3,4
134,9/28/2025,Transporte fin de semana,15,30,25,6,2,2
135,9/28/2025,Tarea/Proyecto,0,0,120,5,1,1
136,9/29/2025,Transporte al instituto,5.746,20,20,6,1,2
137,9/29/2025,Café,35,50,15,1,1,1
138,9/29/2025,Transporte a casa,5.746,20,15,6,2,2
139,9/30/2025,Transporte al instituto,5.746,20,20,6,1,2
140,9/30/2025,Café,35,50,15,1,1,1
141,9/30/2025,Transporte a casa,5.746,20,15,6,2,2
142,10/1/2025,Transporte al instituto,5.746,20,20,6,1,2
143,10/1/2025,Café,35,50,15,1,1,1
144,10/1/2025,Transporte a casa,5.746,20,15,6,2,2
