Costo,Presupuesto,Tiempo invertido,Tipo,Momento,No. de personas
5.746,50.0,15.0,6.0,2.0,2.0
5.746,50.0,15.0,6.0,1.0,2.0
5.746,50.0,15.0,6.0,2.0,3.0
5.746,50.0,15.0,6.0,3.0,2.0
5.746,50.0,15.0,6.0,2.0,3.0
5.746,50.0,15.0,6.0,2.0,3.0
5.746,50.0,15.0,6.0,2.0,3.0
5.746,50.0,15.0,6.0,2.0,3.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
35.0,50.0,15.0,1.0,1.0,1.0
5.746,20.0,15.0,6.0,2.0,2.0
35.0,50.0,15.0,1.0,1.0,1.0
