Costo,Presupuesto,Tiempo invertido,Tipo,Momento,No. de personas
5.7456,50,20,6,1,3
34.0,100,2,1,1,1
5.746,50,15,6,2,2
5.746,50,15,6,1,2
12.5,20,25,6,2,4
210.0,220,120,1,2,2
240.0,300,10,5,3,2
250.0,300,120,4,3,4
5.746,20,20,6,1,2
20.0,50,10,5,3,1
5.7456,50,20,6,1,4
5.746,50,15,6,2,3
5.7456,50,20,6,1,3
10.0,20,10,1,2,1
210.0,200,200,4,2,2
5.746,50,15,6,3,2
150.0,200,60,1,3,2
7.0,50,10,6,1,3
90.0,100,10,1,2,1
7.0,50,10,6,1,3
400.0,500,20,1,1,2
200.0,200,1,2,1,1
100.0,100,40,1,1,1
5.7456,50,20,6,1,4
5.746,50,15,6,2,3
10.0,20,10,1,2,1
5.7456,50,20,6,1,4
5.746,50,15,6,2,3
210.0,200,200,4,2,2
5.7456,50,20,6,1,4
80.0,100,40,1,1,1
5.746,50,15,6,2,3
5.7456,50,20,6,1,4
5.746,50,15,6,2,3
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
150.0,200,120,4,3,2
5.746,20,15,6,2,2
120.0,150,30,1,1,2
5.746,20,20,6,1,2
5.746,20,15,6,2,2
80.0,100,45,1,3,1
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
110.0,150,60,1,2,1
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
350.0,400,90,1,2,3
15.0,30,25,6,2,2
90.0,100,25,1,1,1
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
115.0,150,60,1,2,1
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
150.0,200,120,4,3,2
15.0,30,25,6,2,2
220.0,250,90,1,3,4
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
0.0,0,180,5,2,1
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
120.0,150,60,1,2,1
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
0.0,0,100,4,3,1
15.0,30,25,6,2,2
180.0,200,70,1,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
130.0,150,60,1,2,1
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
150.0,200,120,4,3,3
15.0,30,25,6,2,2
100.0,120,30,1,1,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
140.0,150,60,1,2,1
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
450.0,500,120,1,3,4
15.0,30,25,6,2,2
0.0,0,120,5,1,1
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
125.0,150,60,1,2,1
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
0.0,0,180,4,3,1
15.0,30,25,6,2,2
200.0,250,90,1,3,3
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
110.0,150,60,1,2,1
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
280.0,350,90,1,2,3
100.0,120,30,1,1,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
135.0,150,60,1,2,1
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
150.0,200,120,4,3,2
15.0,30,25,6,2,2
210.0,250,90,1,3,4
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
5.746,20,15,6,2,2
5.746,20,20,6,1,2
35.0,50,15,1,1,1
